fortis,idfc,pvr,suzlon,vip
205.25,63.7,1524.95,19.6,199.2
207.9,64.25,1539.0,19.7,200.9
205.9,63.35,1530.3,19.9,199.65
196.85,61.5,1515.05,20.0,193.3
203.55,61.15,1513.55,20.6,195.95
194.8,60.2,1481.0,20.4,192.85
196.55,58.25,1496.45,19.75,183.2
194.35,56.9,1450.0,18.85,183.4
202.55,57.6,1461.15,19.35,187.55
202.75,59.25,1471.5,19.8,193.75
196.1,58.35,1472.85,19.15,189.6
198.15,59.15,1447.9,19.15,189.35
195.15,59.05,1454.95,19.3,192.7
198.35,59.15,1455.7,19.5,197.9
192.95,59.4,1457.8,19.75,197.9
194.9,59.0,1442.25,19.85,198.7
191.05,58.7,1392.85,19.35,197.35
194.05,58.7,1400.7,19.35,194.25
192.95,57.65,1454.0,19.15,194.65
193.55,57.65,1472.25,19.2,195.25
191.45,56.4,1488.95,19.0,195.45
189.45,56.5,1496.3,18.95,197.0
187.0,56.5,1522.5,18.75,195.45
197.65,56.6,1523.5,18.95,192.55
190.5,57.05,1564.15,18.75,194.6
190.1,57.05,1569.9,18.55,195.2
198.4,57.95,1570.3,18.6,195.0
194.9,57.4,1581.4,18.7,196.3
197.9,57.7,1563.95,18.7,193.2
172.5,56.2,1508.0,18.4,190.2
165.25,54.95,1450.35,18.1,186.4
167.0,55.6,1405.35,17.65,180.75
,55.15,1417.6,18.1,184.1
164.4,55.25,1408.55,18.75,182.1
162.0,54.2,1440.4,18.9,184.8
163.25,54.9,1425.75,18.65,190.45
155.95,60.45,1407.2,18.75,192.9
161.15,60.65,1421.2,18.7,196.05
162.35,59.95,1419.05,18.55,192.75
158.85,56.5,1425.4,18.85,189.8
162.55,56.0,1419.3,19.35,186.0
161.0,57.3,1419.6,19.1,185.0
162.9,56.5,1417.7,19.05,186.95
164.1,56.15,1403.2,18.9,182.2
162.95,56.1,1381.95,18.85,181.6
148.4,57.3,1382.0,18.3,178.75
150.4,59.4,1387.15,18.45,178.85
150.7,59.1,1385.8,18.5,178.3
157.0,58.3,1367.5,19.15,178.1
163.55,58.95,1369.4,18.95,178.0
167.05,58.65,1381.7,18.9,177.95
168.65,58.35,1354.4,19.1,180.6
166.25,57.6,1330.3,20.0,175.45
163.65,59.55,1340.0,19.2,175.1
159.1,58.75,1340.55,18.95,172.45
155.55,58.7,1375.1,18.9,176.6
155.45,58.2,1377.65,18.45,179.35
153.3,56.95,1374.05,17.75,185.95
163.3,57.55,1400.2,17.65,194.3
166.35,58.55,1430.45,17.3,199.6
164.15,56.9,1409.65,16.65,191.85
159.8,56.4,1358.0,16.3,190.05
158.6,54.65,1332.6,15.4,183.8
151.85,53.6,1285.9,15.25,188.55
151.95,54.7,1288.0,17.4,195.45
150.0,56.75,1329.2,17.5,196.1
151.05,56.45,1301.25,17.2,195.45
151.45,55.85,1321.75,16.95,195.05
145.15,54.3,1280.65,16.15,206.1
143.7,53.85,1272.35,16.05,208.3
141.55,54.85,1255.45,16.35,206.8
152.6,54.6,1263.55,16.3,211.6
151.75,55.0,1276.25,16.65,222.05
148.9,54.05,1261.5,16.25,216.2
143.9,54.6,1309.95,16.45,220.65
154.4,54.45,1321.45,16.3,226.5
146.05,57.9,1323.4,16.55,236.65
149.1,58.4,1310.25,16.15,238.45
147.85,59.2,1304.9,16.35,236.4
152.2,60.25,1308.4,16.3,234.7
152.2,60.2,1323.65,16.25,233.35
153.4,58.95,1366.35,16.15,226.6
154.2,58.95,1344.85,16.8,228.15
154.0,58.7,1346.85,16.95,232.0
153.25,58.75,1323.35,17.1,230.4
150.85,61.4,1321.35,17.1,230.15
151.7,62.1,1336.35,16.95,224.55
149.95,62.3,1329.3,16.9,260.4
150.85,62.1,1337.8,16.75,248.45
153.55,62.5,1310.0,16.75,248.4
153.55,61.55,1281.2,17.0,249.7
152.05,60.05,1217.7,16.3,244.2
150.05,59.85,1214.9,16.1,234.2
146.75,60.25,1211.85,16.15,245.2
147.35,58.35,1174.6,15.8,240.75
144.9,59.3,1194.65,15.4,240.1
145.5,59.0,1204.9,15.6,249.95
144.0,59.0,1221.05,15.6,255.3
145.6,59.25,1268.6,15.65,255.8
146.15,59.1,1293.45,15.2,256.1
150.0,59.7,1313.65,15.35,261.85
156.85,64.5,1387.6,15.2,264.75
152.3,64.1,1376.65,16.25,272.5
153.15,63.9,1335.65,15.5,263.6
149.55,66.55,1352.7,15.8,264.5
149.95,66.2,1404.1,15.55,265.2
151.8,65.45,1372.1,15.45,265.65
150.85,64.95,1387.6,15.5,262.15
149.55,63.3,1369.1,15.55,264.95
147.45,63.6,1362.65,15.4,262.15
146.0,63.75,1415.75,15.35,264.85
144.85,63.65,1420.85,15.55,270.65
146.15,63.4,1388.85,15.9,280.25
145.6,66.3,1421.45,15.85,278.95
145.8,63.2,1421.2,15.95,278.85
146.0,61.8,1397.45,16.55,292.7
144.0,62.95,1387.15,16.95,289.2
143.9,64.65,1377.5,16.75,287.95
143.2,63.8,1363.7,16.4,280.05
143.4,63.05,1364.65,16.5,280.05
142.7,62.3,1403.55,16.1,287.7
143.2,,1344.5,15.55,300.55
140.2,60.75,1379.9,15.5,298.2
138.0,59.35,1366.4,15.5,302.8
138.9,60.6,1394.3,15.55,305.95
134.45,62.45,1398.55,14.65,314.1
132.2,62.6,1390.25,14.5,316.75
130.45,61.55,1386.1,13.65,306.15
140.45,60.3,1390.5,13.45,309.6
130.65,60.7,1408.05,13.7,314.0
129.95,61.1,1380.35,13.6,306.35
130.95,61.7,1368.2,13.85,309.7
129.0,61.05,1356.15,13.65,345.95
125.1,60.65,1349.1,13.6,345.05
132.0,60.8,1303.2,14.15,343.15
138.75,61.0,1305.2,15.0,348.6
143.0,63.4,1308.65,14.7,371.7
141.15,62.55,1313.1,14.5,353.7
138.6,61.95,1315.95,13.95,357.15
144.85,62.35,1278.25,13.8,361.2
143.6,60.9,1275.35,13.85,351.55
148.35,59.65,1269.7,13.6,336.1
150.0,59.7,1269.7,13.6,343.4
144.75,58.9,1286.9,13.75,352.8
146.1,59.35,1302.45,13.95,354.55
146.85,59.8,1294.45,13.85,355.4
138.7,59.75,1307.6,13.8,342.55
128.0,58.75,1302.1,13.6,340.45
130.5,57.8,1298.6,13.3,337.7
135.15,57.3,1303.85,13.5,346.3
135.65,57.95,1334.15,13.45,349.55
133.65,58.3,1346.4,13.7,359.45
136.05,58.5,1425.25,14.2,351.15
140.8,58.5,1437.4,14.5,352.8
142.55,60.15,1441.1,14.6,353.8
142.45,60.95,1418.6,15.0,350.6
150.35,60.45,1432.25,15.15,348.8
158.1,61.85,1408.55,15.05,347.35
161.95,62.8,1411.05,15.55,351.35
160.45,62.9,1423.75,15.8,351.25
157.4,63.0,1402.8,15.85,347.15
154.75,61.6,1401.8,15.75,344.6
163.25,61.7,1399.0,15.8,360.75
164.05,61.7,1419.0,15.55,352.05
163.3,64.45,1460.2,15.65,356.55
163.5,66.65,1486.8,16.4,370.65
165.6,65.2,1469.0,16.4,368.7
162.45,63.95,1460.75,16.45,368.95
148.9,65.55,1463.15,16.2,368.7
144.65,65.65,1459.35,16.05,367.45
146.25,63.95,1438.2,15.25,360.75
140.3,59.9,1474.3,15.35,375.55
144.05,61.7,1457.15,14.85,362.3
144.1,58.9,1469.05,15.1,362.5
145.45,58.0,1474.1,15.0,367.0
147.2,58.55,1529.3,15.0,366.45
150.5,58.2,1485.25,14.85,368.4
153.85,58.05,1466.85,14.6,357.65
157.3,56.6,1467.8,14.65,352.4
147.5,55.45,1422.9,14.55,337.4
146.9,56.8,1460.6,14.6,340.15
139.05,56.35,1418.85,14.6,343.4
132.6,55.65,1302.15,13.6,341.2
126.45,52.45,1297.7,13.3,339.4
118.45,53.25,1331.25,12.8,352.2
114.2,51.7,1380.1,13.05,353.55
123.75,52.2,1414.15,13.25,354.05
126.05,53.8,1396.6,13.5,356.45
148.6,53.25,1412.75,13.5,354.2
139.0,53.75,1405.5,13.35,351.95
142.45,53.3,1403.9,13.2,347.55
143.4,52.0,1402.3,13.15,344.65
137.5,51.75,1391.9,13.0,338.5
146.4,52.45,1410.25,13.05,341.05
153.6,52.5,1396.85,12.9,338.9
155.5,52.5,1384.55,12.55,334.05
146.3,51.6,1370.15,13.0,343.75
159.95,53.0,1361.2,13.0,354.55
159.9,53.4,1335.5,12.95,346.6
155.6,52.45,1320.45,12.8,338.45
159.8,52.95,1305.35,12.75,347.95
161.05,52.6,1267.65,12.6,341.6
163.3,51.25,1284.9,12.2,339.4
161.35,50.1,1288.05,11.45,342.6
147.55,48.75,1305.1,11.5,340.85
148.15,48.75,1320.95,11.0,327.0
145.4,49.05,,11.35,321.75
149.3,50.15,1324.3,11.55,328.4
152.55,51.3,1322.6,11.45,318.5
158.8,51.15,1327.1,11.65,312.6
160.25,51.25,1312.25,11.7,302.35
155.9,51.15,1292.9,11.25,297.1
153.5,49.75,1267.75,11.3,302.05
156.65,49.95,1262.6,11.3,314.75
155.95,49.9,1232.25,11.2,308.95
154.6,51.0,1233.4,10.85,312.95
143.5,49.3,1228.15,11.05,318.75
147.65,49.05,1226.4,11.3,316.4
142.25,49.65,1243.55,10.7,318.65
123.35,48.75,1215.25,11.1,321.15
128.15,50.2,1233.1,11.75,323.3
129.95,51.85,1248.15,11.5,317.9
128.5,50.75,1260.55,11.65,368.2
137.85,52.4,1256.2,12.0,360.75
138.8,52.7,1246.25,12.1,366.05
141.8,52.75,1298.1,12.2,378.75
146.6,52.55,1290.1,12.15,382.15
147.85,52.75,1302.95,12.0,385.75
153.9,52.45,1327.65,11.85,386.25
152.05,52.4,1315.35,11.7,388.35
148.75,52.5,1330.8,11.75,400.85
144.5,52.45,1332.0,11.9,414.15
144.85,53.2,1324.15,11.7,424.05
148.45,53.75,1332.75,11.5,413.0
149.65,53.9,1317.4,11.4,419.95
150.45,53.5,1374.25,11.25,414.3
151.9,53.1,1369.05,11.0,405.55
152.65,52.45,1400.6,10.65,396.95
150.15,55.4,1397.85,10.8,403.95
153.9,57.0,1430.0,10.9,417.6
152.4,58.7,1441.7,10.85,411.95
158.9,57.45,1408.55,10.55,399.85
157.85,56.75,1449.5,10.55,395.55
157.95,56.5,1425.35,10.55,403.4
155.95,55.95,1434.65,10.15,420.0
152.9,56.2,1424.3,10.25,417.6
150.5,55.05,1437.15,10.0,412.9
152.9,53.55,1401.55,9.75,402.2
148.25,54.7,1417.9,8.8,398.75
148.8,53.7,1413.8,8.8,401.5
153.4,52.8,1415.9,9.05,399.0
151.5,51.95,1416.45,9.3,401.95
151.4,51.75,1411.05,8.85,390.4
144.5,51.35,1371.1,8.7,369.95
148.4,49.8,1336.55,8.85,394.2
145.2,51.0,1361.9,8.95,410.35
144.9,50.0,1345.7,9.1,411.25
142.95,49.6,1344.3,9.1,426.05
145.05,51.2,1343.5,9.65,421.1
147.05,52.4,1341.55,9.5,412.65
143.95,51.65,1343.4,9.4,414.5
145.6,51.1,1319.85,8.75,421.45
147.15,50.65,1322.95,8.4,412.4
145.8,49.35,1304.05,8.0,412.0
144.15,47.85,1278.9,7.85,410.95
145.0,46.25,1298.05,7.9,420.45
144.6,48.3,1307.75,8.2,437.4
145.75,49.5,1332.15,8.4,430.85
146.2,50.0,1407.95,8.5,437.4
143.75,50.65,1401.2,8.25,444.65
139.95,50.75,1426.6,8.15,438.55
138.45,50.65,1417.8,8.15,457.15
136.75,50.8,1421.1,7.95,447.4
138.9,50.1,1407.7,7.9,441.25
137.5,49.55,1377.1,7.75,427.25
136.3,48.6,1365.25,7.75,439.45
135.55,49.05,1372.55,7.65,453.25
134.8,48.95,1361.7,7.7,441.6
139.2,48.4,1350.4,7.85,428.3
137.6,48.3,1351.7,7.7,421.3
134.6,47.95,1348.5,7.5,422.75
135.75,45.95,1367.95,7.4,430.9
134.95,46.5,1392.25,7.5,426.2
134.85,46.2,1374.3,7.35,422.95
133.65,45.8,1366.2,7.5,414.55
142.1,46.4,1376.4,7.55,411.75
144.4,45.6,1378.35,7.35,413.25
139.4,44.15,1376.65,7.5,414.45
138.5,44.7,1371.5,7.5,415.4
140.8,45.7,1378.25,7.6,415.35
140.25,46.6,1411.6,7.5,410.8
137.95,45.65,1389.0,7.5,415.8
142.2,46.0,1396.1,7.4,414.05
147.8,45.05,1211.2,7.05,406.55
145.3,43.1,1154.15,7.2,410.4
142.25,45.6,1160.6,7.0,411.7
141.95,44.35,1106.3,7.0,410.95
137.25,44.75,1136.35,7.1,430.75
135.55,44.2,1151.05,7.45,427.7
132.85,43.95,1152.7,8.4,468.1
132.9,45.5,1172.6,8.05,495.35
134.35,45.35,1138.5,7.8,483.5
139.7,45.3,1119.15,7.7,476.5
136.6,47.8,1115.3,8.0,494.8
137.1,48.45,1128.2,7.8,483.6
139.65,46.75,1103.4,7.7,485.55
145.95,46.4,1115.8,7.95,489.85
142.95,46.8,1101.55,7.9,528.35
145.95,46.95,1177.2,7.3,525.65
147.85,50.1,1202.0,7.15,551.9
146.6,49.05,1226.45,7.1,573.35
142.5,48.85,1246.75,7.45,592.7
140.8,49.4,1279.45,7.35,563.1
140.9,49.9,1316.05,7.15,569.65
145.05,49.4,1283.5,7.15,579.75
146.05,49.9,1313.55,7.2,581.85
148.45,49.9,1291.7,7.25,569.95
150.15,52.1,1306.15,7.2,577.5
150.2,52.5,1331.4,7.25,606.35
149.5,52.8,1305.85,7.15,593.15
148.6,51.75,1319.9,7.15,602.9
149.4,51.45,1322.9,7.1,633.0
149.5,51.25,1321.8,7.15,616.55
149.85,51.25,1333.65,7.2,614.75
148.95,52.75,1365.7,7.05,606.25
148.65,52.85,1369.3,7.15,624.05
146.6,52.65,1372.75,7.15,617.1
149.15,52.2,1382.65,6.9,599.5
146.4,50.0,1339.35,6.9,571.35
145.85,49.9,1324.8,6.9,565.3
145.8,49.95,1340.5,7.05,579.35
146.35,50.55,1366.15,7.1,560.4
145.3,49.9,1343.9,6.95,540.5
143.65,49.2,1352.85,7.0,522.2
143.9,49.65,1391.55,7.0,548.3
144.85,50.9,1379.1,7.65,547.45
144.85,49.95,1396.3,7.3,540.95
141.8,49.05,1339.0,7.15,522.95
142.0,48.0,1338.35,6.75,508.5
137.25,44.5,1344.05,6.5,493.65
136.55,43.0,1287.35,6.2,473.05
136.35,41.85,1253.65,6.2,457.0
132.05,42.4,1285.4,5.95,435.35
134.45,40.2,1255.1,5.45,413.6
134.95,39.75,1201.75,5.65,400.45
135.35,40.75,1224.9,5.9,414.45
136.25,40.65,1227.85,5.7,407.75
134.4,39.95,1199.55,5.5,408.8
134.7,38.45,1168.3,5.5,395.25
132.85,37.15,1179.8,5.35,378.55
132.75,36.7,1208.0,5.75,397.45
131.85,39.2,1297.2,5.55,416.75
131.95,37.3,1257.0,5.8,430.0
134.1,38.75,1323.95,6.2,441.65
138.75,38.8,1310.05,6.45,462.5
137.2,39.3,1341.0,6.05,452.2
132.95,37.65,1314.0,5.9,429.6
131.3,37.2,1290.35,5.9,408.4
131.25,36.95,1299.15,6.15,404.05
127.4,35.95,1279.65,6.1,409.3
132.95,36.2,1283.25,6.05,392.5
129.85,35.3,1284.05,6.05,397.75
129.25,35.35,1295.1,6.3,417.6
130.35,35.95,1317.4,6.25,434.35
134.15,36.05,1340.25,6.25,442.6
140.35,36.8,1362.35,6.25,454.3
140.75,36.75,1368.85,6.3,470.5
138.5,38.0,1394.4,6.3,449.4
140.9,38.2,1421.15,6.1,440.25
141.3,37.65,1404.8,6.2,453.55
141.65,37.75,1417.45,6.2,451.5
140.35,39.15,1446.75,6.05,438.35
139.6,38.3,1387.25,6.0,426.9
141.7,37.9,1397.15,5.8,446.3
140.5,38.5,1419.7,5.7,468.3
143.75,38.9,1410.15,5.65,461.3
146.5,39.15,1417.0,5.4,481.15
148.7,39.15,1433.9,5.4,473.2
147.5,38.2,1403.9,5.55,462.5
146.55,38.8,1418.0,5.55,460.95
146.4,40.05,1415.75,5.4,488.6
147.1,40.5,1436.5,5.6,526.3
146.15,41.25,1442.0,5.45,523.55
146.05,41.35,1461.9,5.1,521.75
147.55,40.5,1452.45,5.15,533.9
147.7,40.95,1436.0,5.55,530.15
147.8,40.9,1522.0,5.45,531.15
148.45,41.05,1487.2,5.25,523.25
147.85,38.8,1478.45,5.2,509.45
147.4,37.85,1490.85,5.15,520.6
147.1,37.8,1485.6,5.1,494.05
150.05,37.05,1477.1,5.3,516.9
150.85,37.25,1500.25,5.3,537.2
152.85,38.75,1544.4,5.25,535.1
151.6,40.1,1535.1,5.3,528.5
141.45,39.65,1557.4,5.3,522.25
137.05,39.95,1562.0,5.35,527.0
136.15,41.15,1555.5,5.45,520.8
137.15,41.9,1554.6,5.5,520.35
135.55,44.0,1573.2,5.5,519.45
134.95,42.9,1564.5,5.5,505.7
134.95,43.2,1543.7,5.45,510.85
135.2,43.45,1548.7,5.45,507.95
134.15,42.85,1583.65,5.45,508.95
137.4,43.4,1585.1,5.4,516.4
140.5,43.6,1604.55,5.45,515.65
140.2,43.45,1594.6,5.35,505.2
140.5,42.15,1587.55,5.3,511.8
140.75,42.3,1530.7,5.45,519.65
140.3,43.45,1573.2,5.35,515.25
139.9,44.45,1583.15,5.35,509.15
139.4,43.95,1604.65,5.35,501.6
139.2,43.2,1612.7,5.45,499.1
139.95,42.95,1636.25,5.35,505.05
139.9,42.0,1644.95,5.3,491.15
139.3,42.75,1637.05,5.3,509.6
138.25,42.95,1660.55,5.3,512.05
137.9,43.75,1646.65,5.3,518.4
136.55,43.6,1634.1,5.25,511.8
135.5,43.15,1621.05,5.25,502.9
135.45,42.05,1614.9,5.2,493.05
135.85,42.4,1598.65,5.15,490.25
135.5,42.5,1607.2,5.15,481.05
136.35,42.45,1600.4,5.05,478.25
135.4,40.8,1561.8,4.95,468.25
135.85,39.95,1577.2,4.95,454.3
135.5,39.1,1607.65,5.0,472.35
135.3,38.7,1599.95,4.7,479.9
135.2,39.6,1605.35,4.9,496.2
135.2,38.6,1569.6,4.75,498.05
134.85,36.9,1577.15,3.6,500.75
134.9,36.75,1596.95,3.85,517.65
134.95,36.95,1593.5,3.95,513.75
134.55,38.2,1565.25,3.7,489.5
135.05,37.55,1510.1,3.45,456.6
134.65,37.35,1494.95,3.45,443.9
135.0,35.7,1454.9,3.35,424.95
134.5,35.2,1476.15,3.5,423.85
134.6,35.45,1489.5,3.45,425.9
134.95,35.2,1494.0,3.45,407.2
134.95,35.1,1443.4,3.55,409.85
135.05,35.05,1490.75,3.7,434.4
136.9,35.65,1472.5,4.45,432.4
135.6,36.1,1482.25,5.75,430.35
135.6,37.15,1491.9,5.65,426.4
136.0,37.4,1491.65,5.35,408.4
135.0,37.05,1509.0,5.5,395.4
134.35,37.35,1507.7,5.75,407.95
134.75,36.55,1502.6,5.95,414.95
134.75,40.15,1491.2,7.45,422.65
134.25,41.55,1523.5,7.9,440.8
134.0,40.85,1526.3,6.9,438.5
135.1,40.0,1519.55,7.3,431.95
134.95,39.2,1542.4,7.4,442.75
135.45,41.35,1542.65,7.2,443.7
141.8,42.05,1632.55,6.8,437.85
139.5,41.35,1620.7,7.05,428.6
136.1,41.95,1634.8,6.8,434.0
137.8,44.3,1631.1,7.1,440.75
136.9,43.55,1691.3,7.0,449.25
136.65,44.8,1695.4,6.9,455.4
136.3,44.5,1628.45,6.7,443.9
136.35,43.7,1615.4,6.45,450.7
136.85,42.95,1583.8,6.65,467.4
136.3,44.75,1564.05,6.65,478.85
137.45,46.25,1606.0,6.5,482.8
136.6,46.9,1642.85,6.15,483.35
135.75,46.55,1646.7,6.2,485.05
136.6,46.6,1650.6,6.8,493.6
137.05,46.15,1656.75,6.5,487.8
136.4,45.5,1640.35,6.7,476.3
136.8,46.3,1657.9,6.7,476.8
136.75,46.55,1678.2,6.65,464.7
135.15,46.3,1681.9,6.7,463.95
135.65,46.85,1680.25,6.7,473.15
135.75,46.7,1694.65,6.7,473.15
136.65,45.95,1718.55,7.2,477.55
138.75,46.85,1696.45,7.35,480.35
141.1,46.7,1699.45,7.35,475.5
141.15,46.3,1716.85,7.1,472.35
140.4,45.45,1710.05,6.8,461.65
139.55,43.3,1694.05,7.2,463.1
139.5,41.9,1670.55,7.25,467.35
139.15,42.4,1711.7,7.15,467.35
138.95,43.25,1715.1,7.2,472.1
139.1,41.6,1718.35,6.85,468.45
138.55,40.15,1769.45,6.75,459.9
137.85,39.1,1805.0,6.75,452.05
137.75,39.05,1808.1,6.6,442.55
136.35,37.75,1802.3,6.35,430.15
135.2,37.1,1780.1,5.95,420.8
133.6,37.6,1748.5,5.65,431.5
133.0,37.6,1758.45,6.4,434.95
131.9,38.1,1715.4,5.6,425.6
129.7,34.75,1724.0,,
